,round,steps,score
0,1,4,1
0,2,4,2
0,3,4,0
0,4,5,0
0,5,4,0
0,6,5,0
0,7,6,0
0,8,4,1
0,9,4,0
0,10,4,0
0,11,4,0
0,12,13,2
0,13,6,0
0,14,15,2
0,15,4,1
0,16,9,1
0,17,4,0
0,18,5,0
0,19,5,0
0,20,4,0
0,21,4,1
0,22,4,1
0,23,11,1
0,24,12,3
0,25,20,2
0,26,13,2
0,27,4,1
0,28,4,0
0,29,6,0
0,30,4,2
0,31,12,0
0,32,14,2
0,33,7,1
0,34,25,0
0,35,20,3
0,36,4,0
0,37,25,2
0,38,4,1
0,39,7,2
0,40,8,1
0,41,75,8
0,42,7,0
0,43,31,4
0,44,24,6
0,45,10,2
0,46,9,1
0,47,4,0
0,48,19,5
0,49,31,3
0,50,4,0
0,51,4,0
0,52,22,6
0,53,13,3
0,54,22,6
0,55,4,0
0,56,5,3
0,57,43,9
0,58,4,1
0,59,7,0
0,60,6,1
0,61,18,4
0,62,4,2
0,63,80,14
0,64,40,8
0,65,28,4
0,66,5,1
0,67,18,7
0,68,93,12
0,69,15,3
0,70,5,2
0,71,74,17
0,72,52,17
0,73,29,8
0,74,73,19
0,75,37,10
0,76,22,6
0,77,17,4
0,78,21,5
0,79,84,18
0,80,86,17
0,81,37,10
0,82,10,2
0,83,115,30
0,84,152,37
0,85,4,1
0,86,56,20
0,87,4,0
0,88,93,28
0,89,150,38
0,90,26,5
0,91,88,32
0,92,243,50
0,93,4,2
0,94,202,50
0,95,177,28
0,96,38,15
0,97,7,1
0,98,10,2
0,99,109,38
0,100,293,50
0,101,14,2
0,102,4,0
0,103,60,21
0,104,92,22
0,105,108,38
0,106,74,23
0,107,37,12
0,108,136,41
0,109,10,1
0,110,109,32
0,111,180,47
0,112,128,35
0,113,136,38
0,114,20,3
0,115,245,50
0,116,48,14
0,117,28,7
0,118,48,18
0,119,217,48
0,120,8,3
0,121,17,3
0,122,98,33
0,123,48,13
0,124,102,28
0,125,25,11
0,126,145,41
0,127,22,7
0,128,10,4
0,129,102,33
0,130,47,7
0,131,110,31
0,132,64,15
0,133,166,43
0,134,14,5
0,135,145,36
0,136,209,50
0,137,68,8
0,138,31,11
0,139,153,41
0,140,113,35
0,141,71,25
0,142,32,14
0,143,97,30
0,144,143,50
0,145,182,50
0,146,209,50
0,147,64,17
0,148,243,48
0,149,125,34
0,150,136,29
0,151,242,48
0,152,278,43
0,153,53,12
0,154,165,50
0,155,59,17
0,156,107,31
0,157,114,25
0,158,133,38
0,159,55,20
0,160,92,36
0,161,111,33
0,162,100,24
0,163,140,44
0,164,17,1
0,165,138,30
0,166,78,20
0,167,113,34
0,168,162,50
0,169,53,19
0,170,322,46
0,171,88,26
0,172,88,35
0,173,93,29
0,174,37,17
0,175,10,3
0,176,214,37
0,177,130,31
0,178,162,50
0,179,105,27
0,180,187,44
0,181,137,28
0,182,61,12
0,183,36,11
0,184,10,2
0,185,77,30
0,186,25,6
0,187,40,12
0,188,118,38
0,189,149,23
0,190,217,50
0,191,250,50
0,192,66,20
0,193,6,2
0,194,43,12
0,195,67,19
0,196,209,50
0,197,45,20
0,198,198,50
0,199,213,50
0,200,45,2
0,201,32,10
0,202,24,7
0,203,176,40
0,204,86,26
0,205,52,7
0,206,37,12
0,207,15,6
0,208,11,2
0,209,218,44
0,210,18,4
0,211,217,50
0,212,188,44
0,213,134,34
0,214,30,9
0,215,169,50
0,216,30,13
0,217,72,20
0,218,384,49
0,219,66,16
0,220,58,13
0,221,13,5
0,222,65,12
0,223,130,42
0,224,19,5
0,225,90,24
0,226,70,25
0,227,271,50
0,228,111,29
0,229,85,29
0,230,168,42
0,231,56,21
0,232,96,30
0,233,299,50
0,234,142,37
0,235,148,42
0,236,168,42
0,237,28,10
0,238,29,9
0,239,150,44
0,240,229,50
0,241,225,50
0,242,7,2
0,243,108,19
0,244,173,43
0,245,81,28
0,246,102,19
0,247,92,26
0,248,90,28
0,249,209,50
0,250,40,14
0,251,5,0
0,252,111,34
0,253,206,50
0,254,47,15
0,255,191,42
0,256,175,50
0,257,78,28
0,258,185,50
0,259,20,7
0,260,122,24
0,261,180,42
0,262,105,32
0,263,191,45
0,264,229,50
0,265,125,35
0,266,8,1
0,267,182,46
0,268,90,26
0,269,92,34
0,270,155,42
0,271,284,49
0,272,16,3
0,273,189,50
0,274,28,8
0,275,59,19
0,276,81,24
0,277,31,6
0,278,246,50
0,279,156,47
0,280,63,20
0,281,34,8
0,282,118,40
0,283,80,29
0,284,6,1
0,285,123,31
0,286,18,5
0,287,273,44
0,288,105,15
0,289,197,50
0,290,75,18
0,291,169,35
0,292,94,24
0,293,192,47
0,294,169,50
0,295,94,11
0,296,152,50
0,297,200,50
0,298,61,17
0,299,140,34
0,300,71,20
0,301,131,35
0,302,241,50
0,303,236,43
0,304,53,19
0,305,49,11
0,306,117,34
0,307,302,50
0,308,106,28
0,309,233,50
0,310,229,49
0,311,80,20
0,312,168,43
0,313,80,26
0,314,116,41
0,315,118,35
0,316,62,17
0,317,21,8
0,318,13,4
0,319,138,35
0,320,91,27
0,321,83,21
0,322,186,50
0,323,33,13
0,324,47,10
0,325,35,9
0,326,103,36
0,327,234,50
0,328,149,50
0,329,24,7
0,330,65,16
0,331,168,38
0,332,4,1
0,333,241,49
0,334,224,50
0,335,240,50
0,336,174,36
0,337,178,49
0,338,96,29
0,339,92,26
0,340,132,45
0,341,202,50
0,342,216,50
0,343,5,2
0,344,47,13
0,345,52,16
0,346,23,6
0,347,57,20
0,348,80,22
0,349,281,50
0,350,23,9
0,351,175,50
0,352,24,5
0,353,28,8
0,354,94,26
0,355,50,8
0,356,214,50
0,357,10,4
0,358,41,15
0,359,43,20
0,360,80,14
0,361,216,49
0,362,40,16
0,363,29,9
0,364,224,50
0,365,64,18
0,366,128,17
0,367,112,27
0,368,98,34
0,369,191,44
0,370,6,1
0,371,5,1
0,372,20,5
0,373,163,48
0,374,88,27
0,375,67,25
0,376,37,12
0,377,197,50
0,378,135,26
0,379,86,15
0,380,106,33
0,381,205,43
0,382,155,35
0,383,45,11
0,384,84,23
0,385,186,46
0,386,91,33
0,387,103,17
0,388,53,14
0,389,7,2
0,390,153,23
0,391,133,39
0,392,96,28
0,393,116,33
0,394,153,46
0,395,37,8
0,396,279,50
0,397,60,21
0,398,170,45
0,399,56,20
0,400,175,50
0,401,36,7
0,402,22,5
0,403,12,4
0,404,132,38
0,405,4,0
0,406,212,50
0,407,37,11
0,408,108,29
0,409,92,27
0,410,35,15
0,411,184,38
0,412,38,13
0,413,232,46
0,414,216,50
0,415,69,24
0,416,184,50
0,417,21,4
0,418,94,30
0,419,10,3
0,420,164,42
0,421,14,5
0,422,7,2
0,423,220,50
0,424,118,32
0,425,49,16
0,426,236,49
0,427,185,50
0,428,20,6
0,429,16,4
0,430,36,13
0,431,39,7
0,432,185,49
0,433,106,33
0,434,293,50
0,435,61,18
0,436,9,2
0,437,60,13
0,438,7,3
0,439,101,30
0,440,129,27
0,441,54,17
0,442,324,50
0,443,225,50
0,444,10,2
0,445,79,26
0,446,14,3
0,447,201,50
0,448,86,25
0,449,59,14
0,450,39,15
0,451,191,50
0,452,64,21
0,453,6,1
0,454,109,31
0,455,322,50
0,456,220,50
0,457,21,5
0,458,92,31
0,459,180,48
0,460,116,36
0,461,224,50
0,462,103,29
0,463,93,33
0,464,182,50
0,465,138,37
0,466,174,48
0,467,126,33
0,468,13,3
0,469,197,50
0,470,162,46
0,471,230,50
0,472,65,21
0,473,180,45
0,474,121,38
0,475,93,26
0,476,56,17
0,477,24,8
0,478,224,50
0,479,89,19
0,480,27,13
0,481,109,18
0,482,52,15
0,483,17,4
0,484,122,27
0,485,198,50
0,486,69,25
0,487,18,4
0,488,272,50
0,489,149,43
0,490,195,50
0,491,15,6
0,492,109,17
0,493,177,45
0,494,158,27
0,495,6,1
0,496,124,44
0,497,37,10
0,498,35,9
0,499,172,50
0,500,206,47
0,501,72,17
0,502,170,44
0,503,133,38
0,504,160,41
0,505,40,5
0,506,29,12
0,507,56,22
0,508,85,24
0,509,26,9
0,510,138,38
0,511,97,29
0,512,186,49
0,513,123,39
0,514,155,17
0,515,195,50
0,516,182,50
0,517,23,9
0,518,112,35
0,519,63,15
0,520,229,50
0,521,268,50
0,522,177,50
0,523,13,2
0,524,255,44
0,525,202,50
0,526,255,50
0,527,73,14
0,528,81,23
0,529,93,29
0,530,167,50
0,531,152,38
0,532,193,50
0,533,47,18
0,534,162,50
0,535,114,17
0,536,39,10
0,537,182,50
0,538,265,48
0,539,137,28
0,540,55,27
0,541,250,24
0,542,131,36
0,543,71,10
0,544,254,50
0,545,29,11
0,546,81,22
0,547,67,5
0,548,108,30
0,549,197,50
0,550,56,18
0,551,44,10
