,round,steps,score
0,1,4,0
0,2,4,1
0,3,4,1
0,4,4,2
0,5,4,0
0,6,4,1
0,7,4,0
0,8,4,0
0,9,5,0
0,10,4,1
0,11,4,2
0,12,5,0
0,13,4,1
0,14,13,0
0,15,8,0
0,16,4,1
0,17,4,2
0,18,5,1
0,19,6,0
0,20,4,0
0,21,14,2
0,22,4,0
0,23,4,2
0,24,4,2
0,25,5,0
0,26,8,0
0,27,16,3
0,28,20,1
0,29,4,0
0,30,7,1
0,31,6,1
0,32,5,1
0,33,5,1
0,34,12,1
0,35,15,0
0,36,36,4
0,37,42,8
0,38,7,1
0,39,14,5
0,40,17,2
0,41,7,2
0,42,22,3
0,43,11,2
0,44,10,0
0,45,33,6
0,46,6,1
0,47,42,6
0,48,36,7
0,49,77,21
0,50,37,13
0,51,112,18
0,52,52,15
0,53,14,2
0,54,5,1
0,55,7,2
0,56,39,7
0,57,5,1
0,58,9,0
0,59,16,2
0,60,46,12
0,61,193,46
0,62,12,2
0,63,39,13
0,64,104,34
0,65,27,9
0,66,77,19
0,67,24,8
0,68,79,23
0,69,100,29
0,70,55,20
0,71,172,49
0,72,37,8
0,73,169,38
0,74,57,15
0,75,22,9
0,76,4,0
0,77,210,50
0,78,70,18
0,79,37,12
0,80,133,41
0,81,10,2
0,82,53,16
0,83,28,9
0,84,71,19
0,85,271,48
0,86,83,27
0,87,137,37
0,88,6,1
0,89,47,15
0,90,174,45
0,91,142,38
0,92,123,36
0,93,34,11
0,94,58,19
0,95,108,28
0,96,91,24
0,97,240,48
0,98,99,29
0,99,51,18
0,100,50,14
0,101,112,34
0,102,177,50
0,103,31,10
0,104,150,33
0,105,104,34
0,106,124,37
0,107,184,50
0,108,30,9
0,109,39,9
0,110,68,16
0,111,166,50
0,112,115,34
0,113,219,50
0,114,94,22
0,115,166,41
0,116,73,8
0,117,47,13
0,118,104,37
0,119,33,12
0,120,272,48
0,121,25,7
0,122,118,37
0,123,257,37
0,124,133,39
0,125,60,18
0,126,119,38
0,127,26,7
0,128,186,38
0,129,178,50
0,130,144,42
0,131,152,46
0,132,135,40
0,133,12,3
0,134,145,32
0,135,69,21
0,136,78,19
0,137,125,35
0,138,49,17
0,139,16,5
0,140,28,12
0,141,144,41
0,142,181,50
0,143,82,26
0,144,76,24
0,145,9,2
0,146,205,50
0,147,88,24
0,148,236,49
0,149,89,23
0,150,211,50
0,151,70,22
0,152,82,27
0,153,51,10
0,154,75,18
0,155,117,32
0,156,18,3
0,157,165,49
0,158,228,50
0,159,54,13
0,160,359,50
0,161,87,25
0,162,82,25
0,163,185,50
0,164,167,41
0,165,76,19
0,166,130,41
0,167,15,6
0,168,200,47
0,169,8,1
0,170,84,31
0,171,45,18
0,172,47,14
0,173,6,1
0,174,375,50
0,175,72,25
0,176,35,8
0,177,61,20
0,178,55,25
0,179,180,50
0,180,170,50
0,181,11,2
0,182,212,45
0,183,280,50
0,184,190,46
0,185,242,48
0,186,110,27
0,187,112,27
0,188,90,28
0,189,198,45
0,190,184,50
0,191,215,50
0,192,237,50
0,193,9,2
0,194,123,29
0,195,65,17
0,196,194,50
0,197,74,21
0,198,17,7
0,199,58,25
0,200,109,27
0,201,9,2
0,202,157,50
0,203,102,24
0,204,52,16
0,205,234,50
0,206,68,14
0,207,101,23
0,208,198,45
0,209,11,3
0,210,8,1
0,211,255,50
0,212,19,3
0,213,27,9
0,214,19,4
0,215,41,13
0,216,149,43
0,217,165,50
0,218,97,33
0,219,214,50
0,220,48,14
0,221,79,27
0,222,195,50
0,223,196,47
0,224,140,45
0,225,8,1
0,226,231,50
0,227,110,36
0,228,198,45
0,229,80,19
0,230,116,37
0,231,117,22
0,232,68,25
0,233,58,13
0,234,223,50
0,235,169,45
0,236,25,5
0,237,92,28
0,238,80,29
0,239,16,4
0,240,224,46
0,241,135,31
0,242,15,4
0,243,13,4
0,244,177,43
0,245,60,25
0,246,6,0
0,247,17,3
0,248,33,15
0,249,24,9
0,250,33,9
0,251,153,45
0,252,81,24
0,253,181,50
0,254,13,4
0,255,336,47
0,256,4,2
0,257,171,45
0,258,67,24
0,259,124,32
0,260,100,36
0,261,208,50
0,262,232,50
0,263,130,38
0,264,151,36
0,265,218,50
0,266,124,39
0,267,197,39
0,268,266,50
0,269,193,32
0,270,98,31
0,271,87,28
0,272,91,29
0,273,158,45
