,round,steps,score
0,1,400,12
0,2,400,2
0,3,400,6
0,4,400,0
0,5,400,2
0,6,400,4
0,7,400,1
0,8,400,1
0,9,400,11
0,10,400,1
0,11,400,4
0,12,400,1
0,13,400,1
0,14,400,0
0,15,400,3
0,16,400,12
0,17,400,13
0,18,400,12
0,19,400,12
0,20,33,6
0,21,400,3
0,22,400,9
0,23,400,5
0,24,400,12
0,25,400,18
0,26,400,10
0,27,400,15
0,28,400,1
0,29,400,1
0,30,400,5
0,31,296,1
0,32,400,15
0,33,400,14
0,34,400,14
0,35,216,1
0,36,400,11
0,37,400,15
0,38,400,0
0,39,400,14
0,40,400,0
0,41,400,6
0,42,400,4
0,43,400,12
0,44,400,17
0,45,400,13
0,46,400,2
0,47,400,13
0,48,400,2
0,49,227,1
0,50,400,11
0,51,75,0
0,52,400,14
0,53,400,2
0,54,400,0
0,55,400,2
0,56,61,0
0,57,176,19
0,58,400,11
0,59,400,17
0,60,400,23
0,61,400,0
0,62,400,12
0,63,400,1
0,64,400,15
0,65,400,0
0,66,400,17
0,67,400,1
0,68,400,12
0,69,400,15
0,70,400,1
0,71,400,10
0,72,400,26
0,73,400,2
0,74,400,4
0,75,400,12
0,76,400,2
0,77,400,11
0,78,400,2
0,79,400,2
0,80,400,10
0,81,400,12
0,82,400,3
0,83,400,23
0,84,400,0
0,85,400,19
0,86,400,0
0,87,400,4
0,88,400,19
0,89,400,5
0,90,400,13
0,91,400,19
0,92,400,1
0,93,400,0
0,94,400,1
0,95,400,8
0,96,400,18
0,97,400,6
0,98,400,5
0,99,400,12
0,100,400,2
0,101,400,0
0,102,400,1
0,103,400,2
0,104,400,5
0,105,400,1
0,106,400,13
0,107,400,6
0,108,400,2
0,109,400,5
0,110,400,13
0,111,400,13
0,112,400,18
0,113,400,18
0,114,400,11
0,115,400,0
0,116,400,1
0,117,400,17
0,118,400,4
0,119,400,7
0,120,400,2
0,121,400,4
0,122,400,8
0,123,400,23
0,124,400,20
0,125,400,3
0,126,400,13
0,127,400,0
0,128,400,8
0,129,400,4
0,130,400,15
0,131,400,1
0,132,400,1
0,133,400,18
0,134,400,2
0,135,400,2
0,136,400,14
0,137,400,8
0,138,400,8
0,139,400,16
0,140,400,1
0,141,400,6
0,142,400,3
0,143,400,6
0,144,400,0
0,145,400,0
0,146,400,2
0,147,400,5
0,148,400,14
0,149,400,3
0,150,400,10
0,151,400,0
0,152,400,4
0,153,400,5
0,154,400,3
0,155,400,11
0,156,400,13
0,157,400,0
0,158,400,0
0,159,400,0
0,160,400,2
0,161,400,13
0,162,400,1
0,163,400,3
0,164,400,2
0,165,400,1
0,166,400,18
0,167,400,15
0,168,400,2
0,169,400,22
0,170,400,12
0,171,400,4
0,172,400,2
0,173,400,17
0,174,400,5
0,175,400,6
0,176,400,1
0,177,400,8
0,178,400,3
0,179,400,1
0,180,400,12
0,181,400,3
0,182,400,9
0,183,400,13
0,184,400,1
0,185,400,16
0,186,400,12
0,187,400,6
0,188,400,16
0,189,400,17
0,190,400,11
0,191,400,13
0,192,400,14
0,193,400,4
0,194,400,0
0,195,400,1
0,196,400,13
0,197,400,5
0,198,400,13
0,199,400,4
0,200,400,16
0,201,400,14
0,202,400,1
0,203,400,11
0,204,400,17
0,205,400,16
0,206,400,14
0,207,400,1
0,208,400,12
0,209,400,1
0,210,400,1
0,211,400,13
0,212,400,2
0,213,400,7
0,214,400,17
0,215,400,3
0,216,400,14
0,217,400,5
0,218,400,2
0,219,5,1
0,220,400,12
0,221,400,0
0,222,400,9
0,223,400,12
0,224,400,13
0,225,400,3
0,226,400,15
0,227,400,2
0,228,400,2
0,229,400,13
0,230,400,6
0,231,400,1
0,232,400,9
0,233,400,16
0,234,400,16
0,235,400,14
0,236,400,9
0,237,400,1
0,238,400,14
0,239,400,1
0,240,400,1
0,241,400,14
0,242,400,10
0,243,400,12
0,244,400,6
0,245,400,10
0,246,400,11
0,247,400,0
0,248,400,6
0,249,400,7
0,250,400,1
0,251,400,3
0,252,400,7
0,253,400,15
0,254,400,3
0,255,400,18
0,256,400,13
0,257,400,5
0,258,400,12
0,259,400,1
0,260,400,16
0,261,400,4
0,262,400,10
0,263,400,0
0,264,400,14
0,265,400,3
0,266,400,22
0,267,400,0
0,268,400,23
0,269,400,5
0,270,400,14
0,271,400,14
0,272,400,12
0,273,400,13
0,274,400,1
0,275,400,14
0,276,400,18
0,277,400,15
0,278,400,11
0,279,400,13
0,280,400,15
0,281,400,1
0,282,400,12
0,283,400,4
0,284,400,15
0,285,400,15
0,286,53,2
0,287,400,0
0,288,400,11
0,289,400,15
0,290,400,2
0,291,400,16
0,292,400,15
0,293,400,17
0,294,400,3
0,295,400,11
0,296,400,1
0,297,400,0
0,298,400,2
0,299,400,1
0,300,400,4
0,301,400,15
0,302,400,9
0,303,400,0
0,304,400,4
0,305,400,0
0,306,400,15
0,307,400,9
0,308,400,1
0,309,400,3
0,310,400,4
0,311,400,1
0,312,400,14
0,313,400,17
0,314,400,3
0,315,400,2
0,316,400,16
0,317,400,9
0,318,400,0
0,319,400,1
0,320,400,1
0,321,400,16
0,322,400,0
0,323,400,0
0,324,400,12
0,325,400,2
0,326,400,2
0,327,400,1
0,328,400,4
0,329,400,16
0,330,400,12
0,331,400,12
0,332,400,12
0,333,400,10
0,334,400,17
0,335,400,12
0,336,400,8
0,337,400,1
0,338,72,4
0,339,400,8
0,340,400,13
0,341,400,3
0,342,400,16
0,343,400,14
0,344,400,0
0,345,400,8
0,346,400,10
0,347,400,1
0,348,400,22
0,349,400,12
0,350,400,10
0,351,400,20
0,352,400,2
0,353,400,2
0,354,400,13
0,355,400,9
0,356,400,13
0,357,400,15
0,358,400,8
0,359,400,8
0,360,400,11
0,361,400,11
0,362,400,1
0,363,400,8
0,364,400,2
0,365,400,8
0,366,400,1
0,367,400,2
0,368,400,2
0,369,400,19
0,370,400,0
0,371,400,6
0,372,400,17
0,373,400,7
0,374,400,16
0,375,400,15
0,376,400,13
0,377,400,19
0,378,400,5
0,379,400,14
0,380,400,10
0,381,400,17
0,382,400,5
0,383,400,0
0,384,400,4
0,385,400,16
0,386,400,4
0,387,400,1
0,388,400,0
0,389,400,0
0,390,400,6
0,391,400,2
0,392,400,12
0,393,400,2
0,394,400,14
0,395,400,19
0,396,400,15
0,397,400,1
0,398,400,12
0,399,400,4
0,400,400,6
0,401,400,0
0,402,400,14
0,403,400,3
0,404,400,13
0,405,400,5
0,406,400,2
0,407,400,3
0,408,400,17
0,409,400,15
0,410,400,3
0,411,400,11
0,412,400,1
0,413,400,12
0,414,400,0
0,415,400,14
0,416,400,11
0,417,400,5
0,418,400,5
0,419,400,1
0,420,400,1
0,421,400,1
0,422,400,13
0,423,400,16
0,424,400,1
0,425,400,15
0,426,400,1
0,427,400,2
0,428,400,0
0,429,400,6
0,430,400,15
0,431,400,15
0,432,400,14
0,433,400,2
0,434,400,17
0,435,400,18
0,436,400,6
0,437,400,2
0,438,400,6
0,439,400,3
0,440,400,3
0,441,400,6
0,442,400,2
0,443,400,9
0,444,400,11
0,445,400,13
0,446,400,15
0,447,400,0
0,448,400,0
0,449,400,9
0,450,400,3
0,451,400,10
0,452,400,3
0,453,400,15
0,454,400,1
0,455,400,3
0,456,400,5
0,457,400,2
0,458,400,16
0,459,400,0
0,460,400,0
0,461,400,0
0,462,400,3
0,463,400,13
0,464,400,7
0,465,400,18
0,466,400,5
0,467,400,4
0,468,400,13
0,469,400,10
0,470,400,1
0,471,400,11
0,472,400,19
0,473,400,8
0,474,400,4
0,475,400,3
0,476,400,12
0,477,400,17
0,478,400,17
0,479,400,1
0,480,400,4
0,481,400,1
0,482,400,10
0,483,400,4
0,484,400,5
0,485,400,15
0,486,400,0
0,487,400,4
0,488,400,4
0,489,400,18
0,490,400,5
0,491,400,3
0,492,400,2
0,493,400,20
0,494,400,14
0,495,400,4
0,496,400,17
0,497,400,2
0,498,400,13
0,499,400,3
0,500,400,3
0,501,400,10
