,round,steps,score
0,1,4,0
0,2,4,0
0,3,4,0
0,4,4,0
0,5,4,0
0,6,4,0
0,7,4,0
0,8,4,0
0,9,5,0
0,10,5,0
0,11,4,0
0,12,4,0
0,13,4,0
0,14,5,0
0,15,5,0
0,16,4,0
0,17,4,0
0,18,4,0
0,19,4,0
0,20,4,0
0,21,4,0
0,22,5,0
0,23,4,0
0,24,6,0
0,25,5,0
0,26,4,0
0,27,4,0
0,28,4,0
0,29,4,0
0,30,4,0
0,31,5,0
0,32,7,0
0,33,4,0
0,34,9,0
0,35,5,0
0,36,5,0
0,37,4,0
0,38,5,0
0,39,5,0
0,40,5,0
0,41,4,0
0,42,21,0
0,43,4,0
0,44,4,0
0,45,4,0
0,46,4,0
0,47,4,0
0,48,4,0
0,49,4,0
0,50,7,0
0,51,4,0
0,52,4,0
0,53,5,0
0,54,4,0
0,55,4,0
0,56,4,0
0,57,5,0
0,58,5,0
0,59,4,0
0,60,12,0
0,61,4,0
0,62,4,0
0,63,4,0
0,64,4,0
0,65,12,0
0,66,6,0
0,67,12,0
0,68,14,0
0,69,6,0
0,70,4,0
0,71,5,0
0,72,10,0
0,73,5,0
0,74,69,0
0,75,5,0
0,76,4,0
0,77,6,0
0,78,24,0
0,79,5,0
0,80,8,0
0,81,29,0
0,82,5,0
0,83,6,0
0,84,6,0
0,85,16,0
0,86,4,0
0,87,5,0
0,88,5,0
0,89,4,0
0,90,16,0
0,91,29,0
0,92,16,0
0,93,5,0
0,94,7,0
0,95,5,0
0,96,5,0
0,97,4,0
0,98,4,0
0,99,5,0
0,100,5,0
0,101,4,0
0,102,400,0
0,103,4,0
0,104,400,0
0,105,400,0
0,106,400,0
0,107,5,0
0,108,400,0
0,109,400,0
0,110,400,0
0,111,5,0
0,112,12,0
0,113,400,0
0,114,4,0
0,115,8,0
0,116,5,0
0,117,4,0
0,118,4,0
0,119,4,0
0,120,5,0
0,121,5,0
0,122,400,0
0,123,4,0
0,124,400,0
0,125,4,0
0,126,5,0
0,127,5,0
0,128,5,0
0,129,4,0
0,130,5,0
0,131,400,0
0,132,400,0
0,133,400,0
0,134,400,0
0,135,4,0
0,136,5,0
0,137,400,0
0,138,4,0
0,139,4,0
0,140,4,0
0,141,5,0
0,142,4,0
0,143,4,0
0,144,400,0
0,145,400,0
0,146,400,0
0,147,400,0
0,148,4,0
0,149,400,0
0,150,400,0
0,151,400,0
0,152,4,0
0,153,400,0
0,154,4,0
0,155,5,0
0,156,4,0
0,157,4,0
0,158,400,0
0,159,4,0
0,160,4,0
0,161,400,0
0,162,4,0
0,163,4,0
0,164,5,0
0,165,400,0
0,166,5,0
0,167,400,0
0,168,400,0
0,169,4,0
0,170,400,0
0,171,4,0
0,172,400,0
0,173,400,0
0,174,5,0
0,175,400,0
0,176,4,0
0,177,400,0
0,178,4,0
0,179,400,0
0,180,400,0
0,181,400,0
0,182,5,0
0,183,400,0
0,184,4,0
0,185,400,0
0,186,400,0
0,187,12,0
0,188,4,0
0,189,400,0
0,190,5,0
0,191,4,0
0,192,5,0
0,193,12,0
0,194,5,0
0,195,400,0
0,196,5,0
0,197,400,0
0,198,4,0
0,199,4,0
0,200,4,0
0,201,400,0
0,202,400,0
0,203,5,0
0,204,400,0
0,205,400,0
0,206,4,0
0,207,4,0
0,208,4,0
0,209,4,0
0,210,4,0
0,211,4,0
0,212,5,0
0,213,400,0
0,214,400,0
0,215,400,0
