,round,steps,score
0,1,33,0
0,2,25,0
0,3,22,0
0,4,17,0
0,5,7,0
0,6,6,0
0,7,14,0
0,8,20,0
0,9,39,0
0,10,26,0
0,11,13,0
0,12,6,0
0,13,23,0
0,14,400,0
0,15,23,1
0,16,7,0
0,17,6,0
0,18,7,0
0,19,7,0
0,20,21,0
0,21,367,1
0,22,7,0
0,23,7,0
0,24,14,0
0,25,6,0
0,26,7,0
0,27,7,0
0,28,355,0
0,29,32,0
0,30,7,0
0,31,7,0
0,32,53,0
0,33,13,0
0,34,7,0
0,35,187,0
0,36,25,0
0,37,14,0
0,38,161,0
0,39,7,0
0,40,16,0
0,41,7,0
0,42,24,0
0,43,6,0
0,44,114,0
0,45,7,0
0,46,13,0
0,47,7,0
0,48,7,0
0,49,6,0
0,50,14,0
0,51,15,0
0,52,272,0
0,53,14,0
0,54,6,0
0,55,6,0
0,56,58,0
0,57,7,0
0,58,16,0
0,59,57,0
0,60,7,0
0,61,7,0
0,62,14,0
0,63,6,0
0,64,7,0
0,65,82,0
0,66,9,0
0,67,126,1
0,68,34,0
0,69,25,0
0,70,13,0
0,71,7,0
0,72,6,0
0,73,21,1
0,74,23,0
0,75,7,0
0,76,24,0
0,77,7,0
0,78,7,0
0,79,13,0
0,80,20,0
0,81,14,0
0,82,400,0
0,83,7,0
0,84,7,0
0,85,7,0
0,86,81,0
0,87,7,0
0,88,10,0
0,89,26,0
0,90,7,0
0,91,55,0
0,92,37,0
0,93,302,1
0,94,27,1
0,95,25,0
0,96,51,0
0,97,18,0
0,98,6,0
0,99,7,0
0,100,6,0
0,101,7,0
0,102,26,0
0,103,32,0
0,104,66,0
0,105,28,0
0,106,52,0
0,107,15,0
0,108,21,1
0,109,15,1
0,110,7,0
0,111,14,1
0,112,100,1
0,113,66,0
0,114,13,0
0,115,53,1
0,116,22,0
0,117,7,0
0,118,14,0
0,119,23,0
0,120,14,0
0,121,7,0
0,122,7,0
0,123,7,0
0,124,7,0
0,125,7,0
0,126,14,0
0,127,14,0
0,128,13,0
0,129,7,0
0,130,39,0
0,131,7,0
0,132,400,0
0,133,7,0
0,134,13,0
0,135,13,0
0,136,6,0
0,137,24,0
0,138,21,0
0,139,7,0
0,140,164,0
0,141,7,0
0,142,13,0
0,143,7,0
0,144,7,0
0,145,7,0
0,146,7,0
0,147,7,0
0,148,7,0
0,149,7,0
0,150,47,1
0,151,7,0
0,152,7,0
0,153,7,0
0,154,372,0
0,155,139,0
0,156,7,0
0,157,226,0
0,158,7,0
0,159,7,0
0,160,7,0
0,161,22,0
0,162,7,0
0,163,14,0
0,164,7,0
0,165,7,0
0,166,14,0
0,167,6,0
0,168,7,0
0,169,7,0
0,170,30,0
0,171,43,0
0,172,7,0
0,173,7,0
0,174,7,0
0,175,14,0
0,176,6,0
0,177,7,0
0,178,7,0
0,179,7,0
0,180,7,0
0,181,6,0
0,182,283,2
0,183,13,0
0,184,9,0
0,185,19,0
0,186,14,0
0,187,6,0
0,188,84,1
0,189,6,0
0,190,353,0
0,191,7,0
0,192,26,0
0,193,6,0
0,194,17,0
0,195,52,0
0,196,84,0
0,197,10,0
0,198,20,1
0,199,14,0
0,200,14,0
0,201,21,1
0,202,21,0
0,203,22,0
0,204,42,0
0,205,14,0
0,206,7,0
0,207,37,1
0,208,14,0
0,209,20,0
0,210,9,0
0,211,101,0
0,212,42,0
0,213,6,0
0,214,6,0
0,215,7,0
0,216,7,0
0,217,7,0
0,218,13,0
0,219,25,0
0,220,7,0
0,221,109,1
0,222,31,0
0,223,15,0
0,224,66,1
0,225,21,1
0,226,7,0
0,227,14,0
0,228,7,0
0,229,7,0
0,230,13,0
0,231,7,0
0,232,21,1
0,233,19,0
0,234,22,0
0,235,168,0
0,236,64,0
0,237,7,0
0,238,34,0
0,239,14,0
0,240,7,0
0,241,24,0
0,242,6,0
0,243,259,1
0,244,49,0
0,245,7,0
0,246,9,0
0,247,370,2
0,248,26,0
0,249,13,0
0,250,20,0
0,251,52,0
0,252,7,0
0,253,28,0
0,254,7,0
0,255,14,0
0,256,24,0
0,257,14,0
0,258,6,0
0,259,87,1
0,260,7,0
0,261,7,0
0,262,7,0
0,263,20,0
0,264,13,0
0,265,54,0
0,266,7,0
0,267,14,0
0,268,7,0
0,269,7,0
0,270,14,0
0,271,23,0
0,272,20,0
0,273,7,0
0,274,25,0
0,275,7,0
0,276,6,0
0,277,23,1
0,278,22,0
0,279,7,0
0,280,13,0
0,281,6,0
0,282,56,0
0,283,400,1
0,284,24,0
0,285,6,0
0,286,14,0
0,287,22,0
0,288,13,0
0,289,44,2
0,290,22,1
0,291,14,0
0,292,14,0
0,293,258,2
0,294,137,1
0,295,21,1
0,296,7,0
0,297,13,0
0,298,6,0
0,299,7,0
0,300,7,0
0,301,52,1
0,302,7,0
0,303,7,0
0,304,7,0
0,305,29,2
0,306,11,0
0,307,7,0
0,308,7,0
0,309,22,0
0,310,7,0
0,311,37,0
0,312,13,0
0,313,7,0
0,314,7,0
0,315,7,0
0,316,7,0
0,317,21,1
0,318,7,0
0,319,7,0
0,320,45,0
0,321,7,0
0,322,7,0
0,323,7,0
0,324,14,0
0,325,76,0
0,326,7,0
0,327,23,0
0,328,7,0
0,329,7,0
0,330,7,0
0,331,25,0
0,332,32,0
0,333,7,0
0,334,7,0
0,335,14,0
0,336,31,0
0,337,7,0
0,338,7,0
0,339,7,0
0,340,6,0
0,341,7,0
0,342,7,0
0,343,31,0
0,344,6,0
0,345,7,0
0,346,7,0
0,347,7,0
0,348,7,0
0,349,23,0
0,350,7,0
0,351,7,0
0,352,13,0
0,353,21,1
0,354,6,0
0,355,6,0
0,356,7,0
0,357,15,0
0,358,9,0
0,359,7,0
0,360,7,0
0,361,13,0
0,362,25,0
0,363,7,0
0,364,15,0
0,365,23,0
0,366,6,0
0,367,28,0
0,368,7,0
0,369,23,1
0,370,7,0
0,371,6,0
0,372,23,1
0,373,66,1
0,374,22,0
0,375,7,0
0,376,66,0
0,377,7,0
0,378,23,0
0,379,14,0
0,380,13,0
0,381,35,0
0,382,24,0
0,383,7,0
0,384,19,2
0,385,81,0
0,386,7,0
0,387,146,1
0,388,15,0
0,389,15,0
0,390,7,0
0,391,13,0
0,392,7,0
0,393,6,0
0,394,39,0
0,395,47,3
0,396,7,0
0,397,21,0
0,398,14,0
0,399,13,0
0,400,25,0
0,401,13,0
0,402,36,1
0,403,25,0
0,404,7,0
0,405,6,0
0,406,6,0
0,407,7,0
0,408,7,0
0,409,67,0
0,410,7,0
0,411,7,0
0,412,400,0
0,413,29,0
0,414,21,0
0,415,7,0
0,416,6,0
0,417,6,0
0,418,58,1
0,419,7,0
0,420,14,0
0,421,23,0
0,422,14,0
0,423,400,0
0,424,21,0
0,425,23,0
0,426,46,0
0,427,6,0
0,428,7,0
0,429,7,0
0,430,14,0
0,431,7,0
0,432,8,0
