,round,steps,score
0,1,6,0
0,2,13,0
0,3,7,0
0,4,7,0
0,5,16,0
0,6,14,0
0,7,69,0
0,8,6,0
0,9,13,0
0,10,23,1
0,11,6,0
0,12,20,0
0,13,71,0
0,14,13,0
0,15,15,0
0,16,13,0
0,17,7,0
0,18,15,0
0,19,56,0
0,20,6,0
0,21,47,0
0,22,41,1
0,23,9,0
0,24,16,0
0,25,400,0
0,26,6,0
0,27,16,0
0,28,15,0
0,29,32,0
0,30,22,0
0,31,6,0
0,32,13,0
0,33,7,0
0,34,8,0
0,35,6,0
0,36,26,0
0,37,6,0
0,38,14,0
0,39,6,0
0,40,8,0
0,41,15,0
0,42,13,0
0,43,17,0
0,44,14,0
0,45,8,0
0,46,400,0
0,47,7,0
0,48,16,0
0,49,6,0
0,50,15,0
0,51,14,0
0,52,8,0
0,53,14,0
0,54,15,0
0,55,9,0
0,56,17,0
0,57,13,0
0,58,9,0
0,59,14,0
0,60,400,0
0,61,7,0
0,62,8,0
0,63,13,0
0,64,9,0
0,65,14,0
0,66,6,0
0,67,7,0
0,68,14,0
0,69,6,0
0,70,31,0
0,71,14,0
0,72,14,0
0,73,7,0
0,74,13,0
0,75,7,0
0,76,16,0
0,77,7,0
0,78,14,0
0,79,46,0
0,80,8,0
0,81,14,0
0,82,9,0
0,83,6,0
0,84,20,0
0,85,6,0
0,86,13,0
0,87,7,0
0,88,16,0
0,89,6,0
0,90,14,0
0,91,22,0
0,92,13,0
0,93,14,0
0,94,15,0
0,95,20,1
0,96,20,0
0,97,13,0
0,98,25,0
0,99,13,0
0,100,9,0
0,101,38,0
0,102,7,0
0,103,14,0
0,104,13,0
0,105,6,0
0,106,24,0
0,107,6,0
0,108,20,1
0,109,14,0
0,110,6,0
0,111,7,0
0,112,21,0
0,113,400,0
0,114,63,1
0,115,13,0
0,116,6,0
0,117,14,0
0,118,9,0
0,119,13,0
0,120,11,0
0,121,13,0
0,122,20,1
0,123,17,0
0,124,7,0
0,125,6,0
0,126,14,0
0,127,14,0
0,128,9,0
0,129,14,0
0,130,38,1
0,131,6,0
0,132,14,0
0,133,10,0
0,134,8,0
0,135,17,0
0,136,14,0
0,137,7,0
0,138,14,0
0,139,14,0
0,140,13,0
0,141,9,0
0,142,14,0
0,143,7,0
0,144,20,0
0,145,14,0
0,146,14,0
0,147,14,0
0,148,13,0
0,149,7,0
0,150,15,0
0,151,9,0
0,152,14,0
0,153,17,0
0,154,6,0
0,155,14,0
0,156,14,0
0,157,7,0
0,158,400,0
0,159,7,0
0,160,21,0
0,161,14,0
0,162,6,0
0,163,14,0
0,164,7,0
0,165,14,0
0,166,8,0
0,167,13,0
0,168,6,0
0,169,6,0
0,170,7,0
0,171,14,0
0,172,13,0
0,173,14,0
0,174,7,0
0,175,14,0
0,176,6,0
0,177,6,0
0,178,13,0
0,179,8,0
0,180,17,0
0,181,7,0
0,182,7,0
0,183,23,0
0,184,15,0
0,185,14,0
0,186,14,0
0,187,6,0
0,188,7,0
0,189,14,0
0,190,14,0
0,191,14,0
0,192,7,0
0,193,14,0
0,194,7,0
0,195,6,0
0,196,20,0
0,197,13,0
0,198,20,0
0,199,14,0
0,200,14,0
0,201,7,0
0,202,22,0
0,203,13,0
0,204,400,1
0,205,20,0
0,206,14,0
0,207,22,0
0,208,400,0
0,209,400,0
0,210,6,0
0,211,15,0
0,212,6,0
0,213,7,0
0,214,14,0
0,215,14,0
0,216,13,0
0,217,7,0
0,218,14,0
0,219,20,0
0,220,6,0
0,221,13,0
0,222,14,0
0,223,20,1
0,224,13,0
0,225,13,0
0,226,400,1
0,227,6,0
0,228,16,0
0,229,13,0
0,230,7,0
0,231,7,0
0,232,6,0
0,233,15,0
0,234,6,0
0,235,17,0
0,236,7,0
0,237,14,0
0,238,13,0
0,239,7,0
0,240,400,0
0,241,6,0
0,242,7,0
0,243,400,0
0,244,7,0
0,245,14,0
0,246,15,0
0,247,14,0
0,248,7,0
0,249,14,0
0,250,6,0
0,251,32,0
0,252,13,0
0,253,21,0
0,254,14,0
0,255,20,0
0,256,7,0
0,257,6,0
0,258,7,0
0,259,14,0
0,260,13,0
0,261,14,0
0,262,7,0
0,263,14,0
0,264,6,0
0,265,13,0
0,266,7,0
0,267,14,0
0,268,6,0
0,269,14,0
0,270,43,0
0,271,21,0
0,272,14,0
0,273,6,0
0,274,28,1
0,275,7,0
0,276,14,0
0,277,6,0
0,278,7,0
0,279,6,0
0,280,15,0
0,281,7,0
0,282,23,0
0,283,23,0
0,284,23,0
0,285,400,0
0,286,400,0
0,287,400,0
0,288,14,0
0,289,32,0
0,290,14,0
0,291,14,0
0,292,8,0
0,293,6,0
0,294,63,0
0,295,6,0
0,296,18,1
0,297,14,0
0,298,6,0
0,299,14,0
0,300,138,0
0,301,13,0
0,302,14,0
0,303,15,0
0,304,400,0
0,305,400,0
0,306,13,0
0,307,14,0
0,308,400,0
0,309,7,0
0,310,400,0
0,311,400,0
0,312,400,1
0,313,15,0
0,314,13,0
0,315,400,0
0,316,400,0
0,317,6,0
0,318,14,0
0,319,6,0
0,320,23,0
0,321,6,0
0,322,23,0
0,323,21,0
0,324,7,0
0,325,400,0
0,326,41,1
0,327,14,0
0,328,400,0
0,329,7,0
0,330,23,1
0,331,7,0
0,332,400,0
0,333,45,0
0,334,6,0
0,335,14,0
0,336,13,0
0,337,23,0
0,338,14,0
0,339,23,1
0,340,14,0
0,341,13,0
0,342,20,0
0,343,7,0
0,344,14,0
0,345,31,0
0,346,400,1
0,347,23,0
0,348,6,0
0,349,400,0
0,350,15,0
0,351,400,0
0,352,14,0
0,353,8,0
0,354,14,0
0,355,400,0
0,356,30,0
0,357,400,0
