,round,steps,score
0,1,5,0
0,2,12,0
0,3,17,0
0,4,6,0
0,5,6,0
0,6,5,0
0,7,5,0
0,8,14,0
0,9,7,0
0,10,59,0
0,11,6,0
0,12,6,0
0,13,6,0
0,14,6,0
0,15,6,0
0,16,6,0
0,17,5,0
0,18,6,0
0,19,22,0
0,20,6,0
0,21,6,0
0,22,6,0
0,23,6,0
0,24,7,0
0,25,6,0
0,26,6,0
0,27,6,0
0,28,5,0
0,29,6,0
0,30,7,0
0,31,7,0
0,32,6,0
0,33,6,0
0,34,6,0
0,35,6,0
0,36,6,0
0,37,6,0
0,38,400,0
0,39,6,0
0,40,6,0
0,41,11,0
0,42,6,0
0,43,6,0
0,44,8,0
0,45,8,0
0,46,9,0
0,47,6,0
0,48,6,0
0,49,7,0
0,50,6,0
0,51,6,0
0,52,400,0
0,53,13,0
0,54,7,0
0,55,6,0
0,56,8,0
0,57,6,0
0,58,6,0
0,59,16,0
0,60,13,0
0,61,6,0
0,62,7,0
0,63,9,0
0,64,6,0
0,65,6,0
0,66,13,0
0,67,6,0
0,68,6,0
0,69,6,0
0,70,8,0
0,71,13,0
0,72,400,0
0,73,7,0
0,74,6,0
0,75,6,0
0,76,6,0
0,77,6,0
0,78,6,0
0,79,13,0
0,80,6,0
0,81,6,0
0,82,14,0
0,83,6,0
0,84,6,0
0,85,6,0
0,86,6,0
0,87,6,0
0,88,6,0
0,89,400,0
0,90,6,0
0,91,6,0
0,92,6,0
0,93,6,0
0,94,6,0
0,95,400,0
0,96,13,0
0,97,9,0
0,98,6,0
0,99,18,0
0,100,6,0
0,101,13,0
0,102,6,0
0,103,6,0
0,104,6,0
0,105,6,0
0,106,6,0
0,107,6,0
0,108,6,0
0,109,6,0
0,110,13,0
0,111,6,0
0,112,13,0
0,113,6,0
0,114,6,0
0,115,6,0
0,116,6,0
0,117,6,0
0,118,6,0
0,119,6,0
0,120,6,0
0,121,6,0
0,122,7,0
0,123,6,0
0,124,6,0
0,125,24,0
0,126,6,0
0,127,6,0
0,128,13,0
0,129,13,0
0,130,6,0
0,131,8,0
0,132,6,0
0,133,6,0
0,134,6,0
0,135,8,0
0,136,6,0
0,137,6,0
0,138,8,0
0,139,13,0
0,140,6,0
0,141,13,0
0,142,6,0
0,143,6,0
0,144,13,0
0,145,6,0
0,146,8,0
0,147,6,0
0,148,6,0
0,149,7,0
0,150,6,0
0,151,6,0
0,152,6,0
0,153,6,0
0,154,20,0
0,155,6,0
0,156,6,0
0,157,14,0
0,158,6,0
0,159,400,0
0,160,6,0
0,161,6,0
0,162,6,0
0,163,9,0
0,164,6,0
0,165,6,0
0,166,13,0
0,167,6,0
0,168,6,0
0,169,13,0
0,170,6,0
0,171,6,0
0,172,6,0
0,173,6,0
0,174,6,0
0,175,6,0
0,176,13,0
0,177,6,0
0,178,14,0
0,179,6,0
0,180,6,0
0,181,13,0
0,182,13,0
0,183,13,0
0,184,6,0
0,185,6,0
0,186,6,0
0,187,6,0
0,188,6,0
0,189,6,0
0,190,6,0
0,191,8,0
0,192,29,0
0,193,16,0
0,194,6,0
0,195,6,0
0,196,13,0
0,197,6,0
0,198,8,0
0,199,6,0
0,200,13,0
0,201,13,0
0,202,6,0
0,203,14,0
0,204,6,0
0,205,6,0
0,206,36,0
0,207,6,0
0,208,13,0
0,209,13,0
0,210,13,0
0,211,6,0
0,212,400,0
0,213,6,0
0,214,6,0
0,215,13,0
0,216,17,0
0,217,6,0
0,218,7,0
0,219,9,0
0,220,6,0
0,221,13,0
0,222,13,0
0,223,6,0
0,224,7,0
0,225,13,0
0,226,13,0
0,227,13,0
0,228,13,0
0,229,6,0
0,230,6,0
